FileName,FullPath,ConfirmedPrinted,ConfirmedAt,PriorSentOrder,PriorSentTimestamp,LastStatus,LastStatusAt,Notes
Audoly et al_2025_A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Audoly et al_2025_A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition.pdf,YES,,11,4/9/2026 10:56,SENT,4/9/2026 10:56,
Bargain et al_2010_“Making work pay” in a rationed labor market.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2010_“Making work pay” in a rationed labor market.pdf,YES,,12,4/9/2026 10:56,SENT,4/9/2026 10:56,
"Bargain et al_2013_Welfare, labor supply and heterogeneous preferences.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2013_Welfare, labor supply and heterogeneous preferences.pdf",YES,,13,4/9/2026 10:56,SENT,4/9/2026 10:56,
Bargain et al_2014_Comparing inequality aversion across countries when labor supply responses.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain et al_2014_Comparing inequality aversion across countries when labor supply responses.pdf,YES,,14,4/9/2026 10:57,SENT,4/9/2026 10:57,
Bargain_Doorley_2013_Putting Structure on the RD Design.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Doorley_2013_Putting Structure on the RD Design.pdf,YES,,15,4/9/2026 10:57,SENT,4/9/2026 10:57,
Bargain_Orsini_2006_In-work policies in Europe.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Orsini_2006_In-work policies in Europe.pdf,YES,,16,4/9/2026 10:57,SENT,4/9/2026 12:23,
Bargain_Peichl_2016_Own-wage labor supply elasticities.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bargain_Peichl_2016_Own-wage labor supply elasticities.pdf,YES,,17,4/9/2026 10:58,SENT,4/9/2026 10:58,
Becker et al_2005_The Quantity and Quality of Life and the Evolution of World Inequality.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Becker et al_2005_The Quantity and Quality of Life and the Evolution of World Inequality.pdf,YES,,18,4/9/2026 10:58,SENT,4/9/2026 10:58,
Beffy et al_2019_Labour supply and taxation with restricted choices.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Beffy et al_2019_Labour supply and taxation with restricted choices.pdf,YES,,19,4/9/2026 10:58,SENT,4/9/2026 10:58,
Bhattacharya_2015_Nonparametric Welfare Analysis for Discrete Choice.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bhattacharya_2015_Nonparametric Welfare Analysis for Discrete Choice.pdf,YES,,20,4/9/2026 10:59,SENT,4/9/2026 10:59,
Bhattacharya_2018_Empirical welfare analysis for discrete choice.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bhattacharya_2018_Empirical welfare analysis for discrete choice.pdf,YES,,21,4/9/2026 10:59,SENT,4/9/2026 10:59,
Bloemen_2000_A model of labour supply with job offer restrictions.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bloemen_2000_A model of labour supply with job offer restrictions.pdf,YES,,22,4/9/2026 10:59,SENT,4/9/2026 12:24,
"Bloemen_2008_Job Search, Hours Restrictions, and Desired Hours of Work.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bloemen_2008_Job Search, Hours Restrictions, and Desired Hours of Work.pdf",YES,,23,4/9/2026 11:00,SENT,4/9/2026 11:00,
Blomquist_Newey_2002_Nonparametric Estimation with Nonlinear Budget Sets.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blomquist_Newey_2002_Nonparametric Estimation with Nonlinear Budget Sets.pdf,YES,,24,4/9/2026 11:00,SENT,4/9/2026 11:00,
Blundell et al_2000_The Labour Market Impact of the Working Families' Tax Credit.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blundell et al_2000_The Labour Market Impact of the Working Families' Tax Credit.pdf,YES,,25,4/9/2026 11:00,SENT,4/9/2026 11:00,
Blundell_2006_Earned income tax credit policies.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Blundell_2006_Earned income tax credit policies.pdf,YES,,26,4/9/2026 11:01,SENT,4/9/2026 11:01,
Bourguignon et al_2007_INEQUALITY OF OPPORTUNITY IN BRAZIL.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bourguignon et al_2007_INEQUALITY OF OPPORTUNITY IN BRAZIL.pdf,YES,,27,4/9/2026 11:01,SENT,4/9/2026 11:01,
Bourguignon_Spadaro_2006_Microsimulation as a tool for evaluating redistribution policies.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Bourguignon_Spadaro_2006_Microsimulation as a tool for evaluating redistribution policies.pdf,YES,,28,4/9/2026 11:01,SENT,4/9/2026 11:01,
"Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf",YES,,29,4/9/2026 11:02,SENT,4/9/2026 11:02,
Capéau et al. - 2015 - Estimating and Simulating with a Random Utility Random Opportunity Model of Job ChoicePresentation a.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Capéau et al. - 2015 - Estimating and Simulating with a Random Utility Random Opportunity Model of Job ChoicePresentation a.pdf,YES,,30,4/9/2026 11:02,SENT,4/9/2026 11:02,
Capéau et al_2021_Nonparametric Welfare Analysis for Discrete Choice.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Capéau et al_2021_Nonparametric Welfare Analysis for Discrete Choice.pdf,YES,,31,4/9/2026 11:02,SENT,4/9/2026 12:24,
"Capéau_Decoster_2016_Getting tired of work, or re-tiring in absence of decent job opportunities.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Capéau_Decoster_2016_Getting tired of work, or re-tiring in absence of decent job opportunities.pdf",YES,,32,4/9/2026 11:03,SENT,4/9/2026 11:03,
Carpantier_Sapata_2016_Empirical welfare analysis.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Carpantier_Sapata_2016_Empirical welfare analysis.pdf,YES,,33,4/9/2026 11:03,SENT,4/9/2026 11:03,
chapter_10.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\chapter_10.pdf,YES,,34,4/9/2026 11:03,SENT,4/9/2026 12:25,
chapter_11.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\chapter_11.pdf,YES,,35,4/9/2026 11:04,SENT,4/9/2026 11:04,
Chetty_2009_Sufficient Statistics for Welfare Analysis.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Chetty_2009_Sufficient Statistics for Welfare Analysis.pdf,YES,,36,4/9/2026 11:04,SENT,4/9/2026 11:04,
Choné_Laroque_2010_Negative Marginal Tax Rates and Heterogeneity.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Choné_Laroque_2010_Negative Marginal Tax Rates and Heterogeneity.pdf,YES,,37,4/9/2026 11:04,SENT,4/9/2026 11:04,
Dagsvik and Jia - 2016 - Labor Supply as a Choice Among Latent Jobs Unobserved Heterogeneity and Identification LABOR SUPPL.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Dagsvik and Jia - 2016 - Labor Supply as a Choice Among Latent Jobs Unobserved Heterogeneity and Identification LABOR SUPPL.pdf,YES,,38,4/9/2026 11:05,SENT,4/9/2026 11:05,
Dagsvik et al. - 2014 - THEORETICAL AND PRACTICAL ARGUMENTS FOR MODELING LABOR SUPPLY AS A CHOICE AMONG LATENT JOBS.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Dagsvik et al. - 2014 - THEORETICAL AND PRACTICAL ARGUMENTS FOR MODELING LABOR SUPPLY AS A CHOICE AMONG LATENT JOBS.pdf,YES,,39,4/9/2026 11:05,SENT,4/9/2026 11:05,
Dagsvik_Karlström_2005_Compensating Variation and Hicksian Choice Probabilities in Random Utility.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Dagsvik_Karlström_2005_Compensating Variation and Hicksian Choice Probabilities in Random Utility.pdf,YES,,40,4/9/2026 11:05,SENT,4/9/2026 11:05,
"Dagsvik_StrØm_2006_Sectoral labour supply, choice restrictions and functional form.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Dagsvik_StrØm_2006_Sectoral labour supply, choice restrictions and functional form.pdf",YES,,41,4/9/2026 11:06,SENT,4/9/2026 11:06,
"Decancq et al_2015_Happiness, Equivalent Incomes and Respect for Individual Preferences.pdf","C:\Users\hisham\Desktop\Job_Market_paper\Literature\Decancq et al_2015_Happiness, Equivalent Incomes and Respect for Individual Preferences.pdf",YES,,42,4/9/2026 11:06,SENT,4/9/2026 11:06,
Decancq_Schokkaert_2016_Beyond GDP.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Decancq_Schokkaert_2016_Beyond GDP.pdf,YES,,43,4/9/2026 11:06,SENT,4/9/2026 12:25,
Durand_2015_The OECD Better Life Initiative.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Durand_2015_The OECD Better Life Initiative.pdf,YES,,44,4/9/2026 11:07,SENT,4/9/2026 12:26,
Equal_Opportunity_or_Equal_Social_Outcom.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Equal_Opportunity_or_Equal_Social_Outcom.pdf,YES,,45,4/9/2026 11:07,SENT,4/9/2026 12:26,
FERREIRA_GIGNOUX_2011_THE MEASUREMENT OF INEQUALITY OF OPPORTUNITY.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\FERREIRA_GIGNOUX_2011_THE MEASUREMENT OF INEQUALITY OF OPPORTUNITY.pdf,YES,,46,4/9/2026 11:07,SENT,4/9/2026 12:27,
Fleurbaey and Maniquet - 2006 - Fair Income Tax.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey and Maniquet - 2006 - Fair Income Tax.pdf,YES,,47,4/9/2026 11:08,SENT,4/9/2026 12:27,
Fleurbaey and Maniquet - 2018 - Optimal Income Taxation Theory and Principles of Fairness.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey and Maniquet - 2018 - Optimal Income Taxation Theory and Principles of Fairness.pdf,YES,,48,4/9/2026 11:08,SENT,4/9/2026 12:28,
Fleurbaey_1995.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_1995.pdf,YES,,49,4/9/2026 11:08,SENT,4/9/2026 12:28,
Fleurbaey_2009_Beyond GDP.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_2009_Beyond GDP.pdf,YES,,50,4/9/2026 11:09,SENT,4/9/2026 12:29,
Fleurbaey_Gaulier_2009_International Comparisons of Living Standards by Equivalent Incomes.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_Gaulier_2009_International Comparisons of Living Standards by Equivalent Incomes.pdf,YES,,51,4/9/2026 11:09,SENT,4/9/2026 12:30,
Fleurbaey_maniquet_2017.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_maniquet_2017.pdf,YES,,52,4/9/2026 11:09,SENT,4/9/2026 12:30,
Fleurbaey_maniquet_2018.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_maniquet_2018.pdf,YES,,53,4/9/2026 11:10,SENT,4/9/2026 12:31,
Fleurbaey_maniquet_2019.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Fleurbaey_maniquet_2019.pdf,YES,,54,4/9/2026 11:10,SENT,4/9/2026 12:31,
Immervoll et al_2007_Welfare Reform in European Countries.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Immervoll et al_2007_Welfare Reform in European Countries.pdf,YES,,55,4/9/2026 11:10,SENT,4/9/2026 12:32,
J Public Economic Theory - 2007 - FLEURBAEY - Help the Low Skilled or Let the Hardworking Thrive  A Study of Fairness in.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\J Public Economic Theory - 2007 - FLEURBAEY - Help the Low Skilled or Let the Hardworking Thrive  A Study of Fairness in.pdf,YES,,56,4/9/2026 11:11,SENT,4/9/2026 12:32,
Jacquet et al_2026_How Much Does Responsibility Matter in Fairness Measurement.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Jacquet et al_2026_How Much Does Responsibility Matter in Fairness Measurement.pdf,YES,,57,4/9/2026 11:11,SENT,4/9/2026 12:33,
jobs_and_wellbeing.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\jobs_and_wellbeing.pdf,YES,,58,4/9/2026 11:11,SENT,4/9/2026 12:33,
Jones_Klenow_2016_Beyond GDP.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Jones_Klenow_2016_Beyond GDP.pdf,YES,,59,4/9/2026 11:12,SENT,4/9/2026 12:34,
Löffler et al_2014_Structural labor supply models and wage exogeneity.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Löffler et al_2014_Structural labor supply models and wage exogeneity.pdf,YES,,60,4/9/2026 11:12,SENT,4/9/2026 12:34,
Löffler et al_2018_The Sensitivity of Structural Labor Supply Estimations to Modeling Assumptions.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Löffler et al_2018_The Sensitivity of Structural Labor Supply Estimations to Modeling Assumptions.pdf,YES,,61,4/9/2026 11:12,SENT,4/9/2026 12:35,
Maniquet2008.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Maniquet2008.pdf,YES,,62,4/9/2026 11:13,SENT,4/9/2026 12:35,
Mas_Pallais_2017_Valuing Alternative Work Arrangements.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Mas_Pallais_2017_Valuing Alternative Work Arrangements.pdf,YES,,63,4/9/2026 11:13,SENT,4/9/2026 12:36,
Peichl_Siegloch_2012_Accounting for labor demand effects in structural labor supply models.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Peichl_Siegloch_2012_Accounting for labor demand effects in structural labor supply models.pdf,YES,,64,4/9/2026 11:13,SENT,4/9/2026 12:36,
Roemer_2002_Equality of opportunity.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Roemer_2002_Equality of opportunity.pdf,YES,,65,4/9/2026 11:14,SENT,4/9/2026 12:37,
Roemer-EqualityOpportunityTheory-2016.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Roemer-EqualityOpportunityTheory-2016.pdf,YES,,66,4/9/2026 11:14,SENT,4/9/2026 12:37,
Saez and Stantcheva - 2016 - Generalized Social Marginal Welfare Weights for Op.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Saez and Stantcheva - 2016 - Generalized Social Marginal Welfare Weights for Op.pdf,YES,,67,4/9/2026 11:14,SENT,4/9/2026 12:38,
Saez_2002_Optimal Income Transfer Programs.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Saez_2002_Optimal Income Transfer Programs.pdf,YES,,68,4/9/2026 11:15,SENT,4/9/2026 12:38,
Sher_2024_Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Sher_2024_Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of.pdf,YES,,69,4/9/2026 11:15,SENT,4/9/2026 12:39,
Shorrocks_2013_Decomposition procedures for distributional analysis.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Shorrocks_2013_Decomposition procedures for distributional analysis.pdf,YES,,70,4/9/2026 11:15,SENT,4/9/2026 12:39,
Sutherland_Figari_2013_EUROMOD.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Sutherland_Figari_2013_EUROMOD.pdf,YES,,71,4/9/2026 11:16,SENT,4/9/2026 11:16,
Valetta_2010.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Valetta_2010.pdf,YES,,72,4/9/2026 11:16,SENT,4/9/2026 12:40,
Van Soest - 1995 - Structural Models of Family Labor Supply A Discrete Choice Approach.pdf,C:\Users\hisham\Desktop\Job_Market_paper\Literature\Van Soest - 1995 - Structural Models of Family Labor Supply A Discrete Choice Approach.pdf,YES,,73,4/9/2026 11:16,SENT,4/9/2026 11:16,
