numeral_id,memo_section,formula,inputs,value,memo_value,abs_diff,pass
T1.sf.B75,§1.2 Table 1 note,B(7.5;theta),theta_l_sf,0.9118952405,0.911895,2.4e-07,True
GATE.sf.beta_ref_vs_record,input gate,beta_l(ref HH) recomputed vs recorded omega_at_reference,"S11 sf leisure block; ref HH age 41.0, k 1.0",6.052952475,6.052952475,1.53e-11,True
T1.sf.min.age,§1.2 Table 1,age at min beta_l = centre + scale*(-ba/2ba2),S11 sf,42.38464143,42.4,0.0154,True
T1.sf.min.beta,§1.2 Table 1,beta_l(x),S11 sf; case min,5.867144355,5.867,0.000144,True
T1.sf.min.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=20,0.8957259017,0.896,0.000274,True
T1.sf.min.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=35,0.7480788461,0.748,7.88e-05,True
T1.sf.min.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=39,0.6979523774,0.698,4.76e-05,True
T1.sf.min.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l min; h=50,0.5265676725,0.527,0.000432,True
T1.sf.min.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l min,1.028217575,1.0282,1.76e-05,True
T1.sf.min.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l min,1.028217575,1.028,0.000218,True
T1.sf.min.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l min,14.18401398,14.2,0.016,True
T1.sf.ref.beta,§1.2 Table 1,beta_l(x),S11 sf; case ref,6.052952475,6.053,4.75e-05,True
T1.sf.ref.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=20,0.8926075476,0.893,0.000392,True
T1.sf.ref.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=35,0.7412340832,0.741,0.000234,True
T1.sf.ref.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=39,0.6900489022,0.690,4.89e-05,True
T1.sf.ref.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l ref; h=50,0.5159799825,0.516,2e-05,True
T1.sf.ref.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l ref,1.029124095,1.0291,2.41e-05,True
T1.sf.ref.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l ref,1.029124095,1.029,0.000124,True
T1.sf.ref.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l ref,15.42679744,15.4,0.0268,True
T1.sf.age20.beta,§1.2 Table 1,beta_l(x),S11 sf; case age20,10.87786608,10.878,0.000134,True
T1.sf.age20.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=20,0.8153258756,0.815,0.000326,True
T1.sf.age20.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=35,0.5838409529,0.584,0.000159,True
T1.sf.age20.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=39,0.5133909554,0.513,0.000391,True
T1.sf.age20.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age20; h=50,0.304486125,0.304,0.000486,True
T1.sf.age20.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l age20,1.052945769,1.0529,4.58e-05,True
T1.sf.age20.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l age20,1.052945769,1.053,5.42e-05,True
T1.sf.age20.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l age20,136.6064006,137,0.394,True
T1.sf.age60.beta,§1.2 Table 1,beta_l(x),S11 sf; case age60,8.970152929,8.970,0.000153,True
T1.sf.age60.rho20,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=20,0.8450483772,0.845,4.84e-05,True
T1.sf.age60.rho35,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=35,0.6416243037,0.642,0.000376,True
T1.sf.age60.rho39,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=39,0.5770700759,0.577,7.01e-05,True
T1.sf.age60.rho50,§1.2 Table 1,exp{-beta[B(7.5)-B((80-h)/10)]/beta_c},beta_l age60; h=50,0.3750914858,0.375,9.15e-05,True
T1.sf.age60.gap,§1.2 Table 1,exp{beta[B(8)-B(7.5)]/beta_c},beta_l age60,1.043461755,1.0435,3.82e-05,True
T1.sf.age60.nwlo,§1.2 Table 1,nonworker band lower = gap,beta_l age60,1.043461755,1.043,0.000462,True
T1.sf.age60.nwhi,§1.2 Table 1,exp{beta[B(8)-B(1)]/beta_c},beta_l age60,57.67151543,57.7,0.0285,True
REF.sm.F,§1.2 ref households,exp{[L(h_obs)-L(o)]/beta_c},ref HH sm,0.8415438866,0.8415,4.39e-05,True
REF.sm.Mlo,§1.2 ref households,exp{[L(h_obs)-L(5)]/beta_c} (= dense-law M),ref HH sm,0.8497572648,0.8498,4.27e-05,True
REF.sm.Mhi,§1.2 ref households,worker upper bound = 1,ref HH sm,1,1.0000,0,True
REF.sm.EUR_F,§1.2 ref households,C_obs * F,C_obs 1888.62,1589.353429,1589,0.353,True
REF.sm.EUR_Mlo,§1.2 ref households,C_obs * Mlo,C_obs 1888.62,1604.865349,1605,0.135,True
REF.sm.EUR_Mhi,§1.2 ref households,C_obs,C_obs 1888.62,1888.616214,1889,0.384,True
REF.sf.F,§1.2 ref households,exp{[L(h_obs)-L(o)]/beta_c},ref HH sf,0.7202572428,0.7203,4.28e-05,True
REF.sf.Mlo,§1.2 ref households,exp{[L(h_obs)-L(5)]/beta_c} (= dense-law M),ref HH sf,0.7412340832,0.7412,3.41e-05,True
REF.sf.Mhi,§1.2 ref households,worker upper bound = 1,ref HH sf,1,1.0000,0,True
REF.sf.EUR_F,§1.2 ref households,C_obs * F,C_obs 1859.06,1339.002889,1339,0.00289,True
REF.sf.EUR_Mlo,§1.2 ref households,C_obs * Mlo,C_obs 1859.06,1378.000136,1378,0.000136,True
REF.sf.EUR_Mhi,§1.2 ref households,C_obs,C_obs 1859.06,1859.062026,1859,0.062,True
REF.sm.maxmove,§1.2,1 / Mlo (max kappa/law movement),ref single man,1.17680665,1.18,0.00319,True
REF.sm.MF_lo,§1.2 comparison with F,exp{[L(o)-L(5)]/beta_c},ref single man,1.009759893,1.010,0.00024,True
REF.sm.MF_hi,§1.2 comparison with F,exp{[L(o)-L(h_obs)]/beta_c} = 1/F,ref single man,1.188292157,1.188,0.000292,True
REF.sm.MF_hi_2dp,§1.2 box,1/F (printed 1.19),ref single man,1.188292157,1.19,0.00171,True
E.sm.ceiling,§0 5(e); §3.4(e),exp{[L(o)-L(70)]/beta_c},ref single man,12.11546017,12.1,0.0155,True
TC.sm.12x,§3.4 treatment (c),"same ceiling, printed as 12x",ref single man,12.11546017,12,0.115,True
G41.sm.lo,§4.1,min over ages 20-60 of gap,S11 sm,1.008904516,1.009,9.55e-05,True
G41.sm.hi,§4.1,max over ages 20-60 of gap,S11 sm,1.015321452,1.015,0.000321,True
G41.sf.lo,§4.1,min over ages 20-60 of gap (k=0),S11 sf,1.028217575,1.028,0.000218,True
G41.sf.hi,§4.1,max over ages 20-60 of gap (k=0),S11 sf,1.052945769,1.053,5.42e-05,True
C.theta_m,§5.1,theta_l_m,S11 couples,-0.9761092136,-0.97611,7.86e-07,True
C.theta_f,§5.1,theta_l_f,S11 couples,-1.686307423,-1.68631,2.58e-06,True
C.theta_m_3dp,§5.1 text,theta_l_m,S11 couples,-0.9761092136,-0.976,0.000109,True
C.theta_f_3dp,§5.1 text,theta_l_f,S11 couples,-1.686307423,-1.686,0.000307,True
C.B8m,§5.1,B(8;theta_m),theta_l_m,0.8898934786,0.889893,4.79e-07,True
C.B75m,§5.1,B(7.5;theta_m),theta_l_m,0.8811425143,0.881143,4.86e-07,True
C.B8f,§5.1,B(8;theta_f),theta_l_f,0.5752216833,0.575222,3.17e-07,True
C.B75f,§5.1,B(7.5;theta_f),theta_l_f,0.5731762821,0.573176,2.82e-07,True
C.dBm,§5.1,"B(8)-B(7.5), men",theta_l_m,0.008750964291,0.008751,3.57e-08,True
C.dBf,§5.1,"B(8)-B(7.5), women",theta_l_f,0.002045401137,0.002045,4.01e-07,True
C.slope_m,§5.1,7.75**(theta_m-1),theta_l_m,0.01748407706,0.01748,4.08e-06,True
C.slope_f,§5.1,7.75**(theta_f-1),theta_l_f,0.004083779037,0.00408,3.78e-06,True
C.threshold,§5.1; §5 table,dBm/dBf (man-only iff beta_f/beta_m exceeds it),"theta_l_m, theta_l_f",4.27836092,4.278,0.000361,True
C.threshold_4dp,§5.1,dBm/dBf,"theta_l_m, theta_l_f",4.27836092,4.2784,3.91e-05,True
C.bm_min,§5.1,min over age of beta_l_m,S11 couples male block,3.97889677,3.9789,3.23e-06,True
C.bf_min,§5.1,min over age of beta_l_f (k=0),S11 couples female block,12.58681193,12.5868,1.19e-05,True
C.loss_m_min,§5.1,bm_min*dBm,,0.03481918355,0.03482,8.16e-07,True
C.loss_f_min,§5.1,bf_min*dBf,,0.02574507943,0.02575,4.92e-06,True
C.bm_min_age,§5.1,centre - bam/(2 ba2m),S11 couples male block,41.71989066,41.7,0.0199,True
GATE.cm.beta_ref_vs_record,input gate,beta_l_m(ref) recomputed vs recorded,age 38.0,4.068610818,4.068610818,4.28e-12,True
GATE.cf.beta_ref_vs_record,input gate,beta_l_f(ref) recomputed vs recorded,"age 37.0, k 3.0",12.81345089,12.813450891,3.1e-10,True
C.bm_ref,§5.1,beta_l_m(ref HH),man 38,4.068610818,4.0686,1.08e-05,True
C.bf_ref,§5.1,beta_l_f(ref HH),"woman 37, k=3",12.81345089,12.8135,4.91e-05,True
C.loss_m_ref,§5.1,bm_ref*dBm,,0.03560426798,0.03560,4.27e-06,True
C.loss_f_ref,§5.1,bf_ref*dBf,,0.02620864702,0.02621,1.35e-06,True
C.loss_m_ref_3dp,§5 table,bm_ref*dBm,,0.03560426798,0.0356,4.27e-06,True
C.loss_f_ref_3dp,§5 table,bf_ref*dBf,,0.02620864702,0.0262,8.65e-06,True
C.weight_ratio_ref,§5.1,bf_ref/bm_ref,,3.149342973,3.15,0.000657,True
C.peak_ratio,§5.1,"max_a beta_f(a,k=0)/beta_m(a), same age (grid 0.001 y)",,3.331693037,3.33,0.00169,True
C.peak_age,§5.1,argmax age,,37.7385217,37.7,0.0385,True
C.ratio_limit,§5.1,ba2f/ba2m,,1.12705318,1.13,0.00295,True
C.need_bf,§5.1,threshold * min beta_m,,17.02315645,17.02,0.00316,True
C.woman_max_age_k0,§5.1,woman age below which beta_f > 17.02,k=0,24.86723344,24.9,0.0328,True
C.woman_min_age_old_k0,§5.1,woman age above which beta_f > 17.02,k=0,74.14719631,74.1,0.0472,True
C.woman_max_age_k1,§5.1,woman age below which beta_f > 17.02,k=1,24.03304381,24.0,0.033,True
C.woman_max_age_k2,§5.1,woman age below which beta_f > 17.02,k=2,23.22531811,23.2,0.0253,True
C.man_lo_w20,§5.1,man-age interval for man-only,"woman 20, k=0",33.38763532,33.4,0.0124,True
C.man_hi_w20,§5.1,man-age interval for man-only,"woman 20, k=0",50.052146,50.1,0.0479,True
C.man_lo_w24,§5.1,man-age interval for man-only,"woman 24, k=0",38.33515442,38.3,0.0352,True
C.man_hi_w24,§5.1,man-age interval for man-only,"woman 24, k=0",45.1046269,45.1,0.00463,True
REF.cpl.F,§1.2 ref households,exp{-(l_m(39)+l_f(35))/beta_c},ref couple,0.6587000089,0.6587,8.93e-09,True
REF.cpl.Mlo,§1.2 ref households,"F*exp{min(l_m5,l_f5)/beta_c}",ref couple,0.6669654878,0.6670,3.45e-05,True
REF.cpl.Mhi_FD,§1.2 ref households,"F*exp{min(l_m(39),l_f(35))/beta_c}",ref couple,0.7868105952,0.7868,1.06e-05,True
REF.cpl.EUR_F,§1.2 ref households,C_obs*F,C_obs 4204.29,2769.367413,2769,0.367,True
REF.cpl.EUR_Mlo,§1.2 ref households,C_obs*Mlo,C_obs 4204.29,2804.117902,2804,0.118,True
REF.cpl.EUR_Mhi,§1.2 ref households,C_obs*Mhi_FD,C_obs 4204.29,3307.981771,3308,0.0182,True
C.manonly.F,§5 table; §1.2 check,exp{-l_m(39)/beta_c},ref weights,0.7868105952,0.7868,1.06e-05,True
C.manonly.M,§5 table; §1.2 check,exp{(-l_m(39)+min loss5)/beta_c},ref weights,0.7966836273,0.7967,1.64e-05,True
C.NN.lo,§5 table,"exp{min(l_m5,l_f5)/beta_c}",ref weights,1.012548169,1.0125,4.82e-05,True
C.NN.hi_FD,§5 table,"exp{min(l_m(70),l_f(70))/beta_c}",ref weights,5.599618347,5.60,0.000382,True
E.NN.ceiling,§3.4(e),"same, printed 5.6x",ref weights,5.599618347,5.6,0.000382,True
C.NN.hi_noFD,§5 table,exp{(l_m(70)+l_f(70))/beta_c},ref weights,186.7224288,187,0.278,True
G41.cpl.lo,§4.1,gap at block minima,,1.01232486,1.012,0.000325,True
G41.cpl.hi,§4.1,gap at reference household,,1.012548169,1.013,0.000452,True
C.gap2060.lo,§5.1,"min gap over spouse ages 20-60 (0.5 y), k=0..3",,1.011422415,1.01,0.00142,True
C.gap2060.hi,§5.1,"max gap over spouse ages 20-60 (0.5 y), k=0..3",,1.018612239,1.02,0.00139,True
H.gap.lo,revision log r0,"min dense-law gap (singles 20-60, couples)",,1.008904516,1.01,0.0011,True
H.gap.hi,revision log r0,"max dense-law gap (singles 20-60, couples)",,1.052945769,1.05,0.00295,True
H.pct.lo,§2.5; §4.3; §6,"min gap - 1, in percent",,0.8904516327,1,0.11,True
H.pct.hi,§2.5; §4.3; §6,"max gap - 1, in percent",,5.294576936,5,0.295,True
