pdf_id,pdf_filename,has_md_extraction,likely_bibtex_key,matched_author_year,matched_title_fragment,encoding_or_naming_issues,in_Literature_folder,notes
11,"Audoly et al_2025_A Practitioner's Note on the Shapley-Owen-Shorrocks Decomposition.pdf",yes,audolyPractitionersNoteShapleyOwenShorrocks2025,Audoly et al. 2025,A Practitioner's Note on the Shapley-Owen-Shorrocks,,yes,
12,"Bargain et al_2010_""Making work pay"" in a rationed labor market.pdf",yes,bargainMakingWorkPay2010,Bargain et al. 2010,Making work pay in a rationed labor market,Filename contains escaped quotes — rendering may differ across systems,yes,
13,"Bargain et al_2013_Welfare, labor supply and heterogeneous preferences.pdf",yes,bargainWelfareLaborSupply2013,Bargain et al. 2013,Welfare labor supply and heterogeneous preferences,,yes,
14,"Bargain et al_2014_Comparing inequality aversion across countries when labor supply responses.pdf",yes,bargainComparingInequalityAversion2014,Bargain et al. 2014,Comparing inequality aversion across countries,,yes,
15,"Bargain_Doorley_2013_Putting Structure on the RD Design.pdf",yes,bargainPuttingStructureRD2013,Bargain & Doorley 2013,Putting Structure on the RD Design,,yes,
16,"Bargain_Orsini_2006_In-work policies in Europe.pdf",yes,bargainInworkPoliciesEurope2006,Bargain & Orsini 2006,In-work policies in Europe,,yes,
17,"Bargain_Peichl_2016_Own-wage labor supply elasticities.pdf",yes,bargainPeichl2016OwnWage [verify],Bargain & Peichl 2016,Own-wage labor supply elasticities,,yes,BibTeX entry not confirmed from bib scan — [verify]; referenced in LIT report
18,"Becker et al_2005_The Quantity and Quality of Life and the Evolution of World Inequality.pdf",yes,beckerQuantityQualityLife2005,Becker et al. 2005,The Quantity and Quality of Life,,yes,
19,"Beffy et al_2019_Labour supply and taxation with restricted choices.pdf",yes,beffyLabourSupplyTaxation2019,Beffy et al. 2019,Labour supply and taxation with restricted choices,,yes,
20,"Bhattacharya_2015_Nonparametric Welfare Analysis for Discrete Choice.pdf",yes,bhattacharyaNonparametricWelfareAnalysis2015,Bhattacharya 2015,Nonparametric Welfare Analysis for Discrete Choice,,yes,
21,"Bhattacharya_2018_Empirical welfare analysis for discrete choice.pdf",yes,bhattacharyaEmpiricalWelfareAnalysis2018,Bhattacharya 2018,Empirical welfare analysis for discrete choice,,yes,
22,"Bloemen_2000_A model of labour supply with job offer restrictions.pdf",yes,bloemenModelLabourSupply2000,Bloemen 2000,A model of labour supply with job offer restrictions,,yes,
23,"Bloemen_2008_Job Search, Hours Restrictions, and Desired Hours of Work.pdf",yes,bloemenJobSearchHours2008,Bloemen 2008,Job Search Hours Restrictions and Desired Hours of Work,,yes,
24,"Blomquist_Newey_2002_Nonparametric Estimation with Nonlinear Budget Sets.pdf",yes,blomquistNonparametricEstimationNonlinear2002,Blomquist & Newey 2002,Nonparametric Estimation with Nonlinear Budget Sets,,yes,
25,"Blundell et al_2000_The Labour Market Impact of the Working Families' Tax Credit.pdf",yes,blundellLabourMarketImpact2000,Blundell et al. 2000,The Labour Market Impact of the Working Families' Tax Credit,Apostrophe in filename — may cause shell issues on some systems,yes,
26,"Blundell_2006_Earned income tax credit policies.pdf",yes,blundellEarnedIncomeTax2006,Blundell 2006,Earned income tax credit policies,,yes,
27,"Bourguignon et al_2007_INEQUALITY OF OPPORTUNITY IN BRAZIL.pdf",yes,bourguignonINEQUALITYOPPORTUNITYBRAZIL2007,Bourguignon et al. 2007,Inequality of Opportunity in Brazil,ALL-CAPS in filename — matches bib key convention,yes,
28,"Bourguignon_Spadaro_2006_Microsimulation as a tool for evaluating redistribution policies.pdf",yes,bourguignonMicrosimulationToolEvaluating2006,Bourguignon & Spadaro 2006,Microsimulation as a tool for evaluating redistribution,,yes,
29,"Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf",yes,brunoriInequalityOpportunityIncome2013,Brunori et al. 2013,Inequality of Opportunity Income Inequality and Economic Mobility,,yes,
30,"Capéau et al. - 2015 - Estimating and Simulating with a Random Utility Random Opportunity Model of Job ChoicePresentation a.pdf",yes,capeauEstimatingSimulatingRandom2015,Capéau et al. 2015,Estimating and Simulating with a RURO Model of Job Choice,Filename contains non-ASCII é; long name with truncated "a." at end — likely artefact of Zotero file title field,yes,
31,"Capéau et al_2021_Nonparametric Welfare Analysis for Discrete Choice.pdf",yes,capeauNonparametricWelfareAnalysis2021,Capéau et al. 2021,Nonparametric Welfare Analysis for Discrete Choice,Filename contains non-ASCII é,yes,
32,"Capéau_Decoster_2016_Getting tired of work, or re-tiring in absence of decent job opportunities.pdf",yes,cappauGettingTiredWork2015,Capéau & Decoster 2016,Getting tired of work or re-tiring in absence of decent job opportunities,Filename uses 2016 but bib entry uses date=2015; non-ASCII é in filename,yes,Date mismatch between PDF filename (2016) and bib entry (2015) — needs resolution
33,"Carpantier_Sapata_2016_Empirical welfare analysis.pdf",yes,carpantierEmpiricalWelfareAnalysis2016,Carpantier & Sapata 2016,Empirical welfare analysis,,yes,
34,"chapter_10.pdf",yes,[no specific key],unknown,unknown — Book chapter 10,No author/title info in filename — exact source unknown,yes,Needs identification; corresponding MD extraction exists
35,"chapter_11.pdf",yes,[no specific key],unknown,unknown — Book chapter 11,No author/title info in filename — exact source unknown,yes,Needs identification; corresponding MD extraction exists
36,"Chetty_2009_Sufficient Statistics for Welfare Analysis.pdf",yes,chettySufficientStatisticsWelfare2009,Chetty 2009,Sufficient Statistics for Welfare Analysis,,yes,
37,"Choné_Laroque_2010_Negative Marginal Tax Rates and Heterogeneity.pdf",yes,choneNegativeMarginalTax2010,Choné & Laroque 2010,Negative Marginal Tax Rates and Heterogeneity,Non-ASCII é in Choné,yes,
38,"Dagsvik and Jia - 2016 - Labor Supply as a Choice Among Latent Jobs Unobserved Heterogeneity and Identification LABOR SUPPL.pdf",yes,dagsvikLaborSupplyChoice2016,Dagsvik & Jia 2016,Labor Supply as a Choice Among Latent Jobs,Truncated at end of filename ("LABOR SUPPL"),yes,
39,"Dagsvik et al. - 2014 - THEORETICAL AND PRACTICAL ARGUMENTS FOR MODELING LABOR SUPPLY AS A CHOICE AMONG LATENT JOBS.pdf",yes,dagsvikTHEORETICALPRACTICALARGUMENTS2014,Dagsvik et al. 2014,Theoretical and Practical Arguments for Modeling Labor Supply,ALL-CAPS filename,yes,
40,"Dagsvik_Karlström_2005_Compensating Variation and Hicksian Choice Probabilities in Random Utility.pdf",yes,dagsvikCompensatingVariationHicksian2005,Dagsvik & Karlström 2005,Compensating Variation and Hicksian Choice Probabilities,Non-ASCII ö in Karlström,yes,
41,"Dagsvik_StrØm_2006_Sectoral labour supply, choice restrictions and functional form.pdf",yes,dagsvikSectoralLabourSupply2006,Dagsvik & Strøm 2006,Sectoral labour supply choice restrictions and functional form,Mixed-case Ø in StrØm — encoding inconsistency; should be Strøm,yes,
42,"Decancq et al_2015_Happiness, Equivalent Incomes and Respect for Individual Preferences.pdf",yes,decancqHappinessEquivalentIncomes2015,Decancq et al. 2015,Happiness Equivalent Incomes and Respect for Individual Preferences,,yes,
43,"Decancq_Schokkaert_2016_Beyond GDP.pdf",yes,decancqGDPUsingEquivalent2016,Decancq & Schokkaert 2016,Beyond GDP,,yes,Short filename — correct match confirmed via MD extraction content
44,"Durand_2015_The OECD Better Life Initiative.pdf",yes,durandOECDBetterLife2015,Durand 2015,The OECD Better Life Initiative,,yes,
45,"Equal_Opportunity_or_Equal_Social_Outcom.pdf",yes,[verify],unknown,Equal Opportunity or Equal Social Outcome,Filename truncated — title unclear; no corresponding bib key identified,yes,Needs identification; [verify] author/year/full title; underscore-separated name suggests manual renaming
46,"FERREIRA_GIGNOUX_2011_THE MEASUREMENT OF INEQUALITY OF OPPORTUNITY.pdf",yes,ferreiraMEASUREMENTINEQUALITYOPPORTUNITY2011,Ferreira & Gignoux 2011,The Measurement of Inequality of Opportunity,ALL-CAPS filename; non-standard,yes,
47,"Fleurbaey and Maniquet - 2006 - Fair Income Tax.pdf",yes,fleurbaeyFairIncomeTax2006,Fleurbaey & Maniquet 2006,Fair Income Tax,,yes,
48,"Fleurbaey and Maniquet - 2018 - Optimal Income Taxation Theory and Principles of Fairness.pdf",yes,fleurbaeyOptimalIncomeTaxation2018,Fleurbaey & Maniquet 2018,Optimal Income Taxation Theory and Principles of Fairness,,yes,
49,"Fleurbaey_1995.pdf",yes,fleurbaey1995 [verify],Fleurbaey 1995,Unknown 1995 Fleurbaey paper,Year-only filename — title/source unknown from filename alone,yes,[verify] exact title and bib key; MD extraction should clarify
50,"Fleurbaey_2009_Beyond GDP.pdf",yes,fleurbaeyGDPQuestMeasure2009,Fleurbaey 2009,Beyond GDP,,yes,
51,"Fleurbaey_Gaulier_2009_International Comparisons of Living Standards by Equivalent Incomes.pdf",yes,fleurbaeyInternationalComparisonsLiving2009,Fleurbaey & Gaulier 2009,International Comparisons of Living Standards by Equivalent Incomes,,yes,
52,"Fleurbaey_maniquet_2017.pdf",yes,fleurbaeyManiquet2017 [verify],Fleurbaey & Maniquet 2017,Unknown 2017 Fleurbaey-Maniquet paper,Year-only filename — title/source unknown; three such files (2017/2018/2019),yes,[verify] exact titles; Economica or similar venue? Check MD extraction
53,"Fleurbaey_maniquet_2018.pdf",yes,fleurbaeyManiquet2018 [verify],Fleurbaey & Maniquet 2018,Unknown 2018 Fleurbaey-Maniquet paper (different from JEL 2018),Year-only filename; may duplicate fleurbaeyOptimalIncomeTaxation2018,yes,[verify] — if this is the same as the 2018 JEL paper above it would be a PDF duplicate
54,"Fleurbaey_maniquet_2019.pdf",yes,fleurbaeyManiquet2019 [verify],Fleurbaey & Maniquet 2019,Unknown 2019 Fleurbaey-Maniquet paper,Year-only filename — title/source unknown,yes,[verify] exact title and bib key
55,"Immervoll et al_2007_Welfare Reform in European Countries.pdf",yes,immervollWelfareReformEuropean2007,Immervoll et al. 2007,Welfare Reform in European Countries,,yes,
56,"J Public Economic Theory - 2007 - FLEURBAEY - Help the Low Skilled or Let the Hardworking Thrive  A Study of Fairness in.pdf",yes,fleurbaeyHelpLowSkilled2007 [verify],Fleurbaey 2007,Help the Low Skilled or Let the Hardworking Thrive,Journal-first filename; double space in name; truncated,yes,BibTeX entry not confirmed from bib scan — [verify] key; MD extraction exists
57,"Jacquet et al_2026_How Much Does Responsibility Matter in Fairness Measurement.pdf",yes,jacquetHowMuchDoes2026,Jacquet et al. 2026,How Much Does Responsibility Matter in Fairness Measurement,,yes,
58,"Jones_Klenow_2016_Beyond GDP.pdf",yes,jonesKlenow2016 [verify],Jones & Klenow 2016,Beyond GDP,,yes,BibTeX key not confirmed from bib scan — [verify]; referenced in LIT report and deep research reports
59,"Löffler et al_2014_Structural labor supply models and wage exogeneity.pdf",yes,lofflerStructuralLaborSupply2014,Löffler et al. 2014,Structural labor supply models and wage exogeneity,Non-ASCII ö in Löffler,yes,
60,"Löffler et al_2018_The Sensitivity of Structural Labor Supply Estimations to Modeling Assumptions.pdf",yes,loefflerSensitivityStructuralLabor2018,Löffler et al. 2018,The Sensitivity of Structural Labor Supply Estimations,Non-ASCII ö in Löffler,yes,
61,"Maniquet2008.pdf",yes,maniquet2008 [verify],Maniquet 2008,Unknown 2008 Maniquet paper,Year-only filename — title/source unknown,yes,[verify] exact title and bib key; MD extraction exists
62,"Mas_Pallais_2017_Valuing Alternative Work Arrangements.pdf",yes,masValuingAlternativeWork2017,Mas & Pallais 2017,Valuing Alternative Work Arrangements,,yes,
63,"Peichl_Siegloch_2012_Accounting for labor demand effects in structural labor supply models.pdf",yes,peichlAccountingLaborDemand2012,Peichl & Siegloch 2012,Accounting for labor demand effects,,yes,
64,"Roemer-EqualityOpportunityTheory-2016.pdf",yes,roemerEqualityOpportunityTheory2016,Roemer & Trannoy 2016,Equality of Opportunity Theory and Measurement,Hyphen-separated filename (different style from rest),yes,
65,"Roemer_2002_Equality of opportunity.pdf",yes,roemerEqualityOpportunityProgress2002,Roemer 2002,Equality of opportunity,,yes,
66,"Saez and Stantcheva - 2016 - Generalized Social Marginal Welfare Weights for Op.pdf",yes,saezGeneralizedSocialMarginal2016,Saez & Stantcheva 2016,Generalized Social Marginal Welfare Weights,Filename truncated at "Op" — full title missing,yes,
67,"Saez_2002_Optimal Income Transfer Programs.pdf",yes,saezOptimalIncomeTransfer2002,Saez 2002,Optimal Income Transfer Programs,,yes,
68,"Sher_2024_Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of.pdf",yes,sherGeneralizedSocialMarginal2024,Sher 2024,Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons,Filename truncated,yes,
69,"Shorrocks_2013_Decomposition procedures for distributional analysis.pdf",yes,shorrocksDecompositionProceduresDistributional2013,Shorrocks 2013,Decomposition procedures for distributional analysis,,yes,
70,"Sutherland_Figari_2013_EUROMOD.pdf",yes,sutherlandEUROMODEuropeanUnion2013,Sutherland & Figari 2013,EUROMOD,,yes,Short filename — correct match confirmed
71,"Valetta_2010.pdf",yes,valetta2010 [verify],Valetta 2010,Unknown 2010 Valetta paper,Year-only filename — title/source unknown,yes,[verify] exact title and bib key; MD extraction exists; note: possibly "Valletta" not "Valetta"
72,"Van Soest - 1995 - Structural Models of Family Labor Supply A Discrete Choice Approach.pdf",yes,vansoestStructuralModelsFamily1995,Van Soest 1995,Structural Models of Family Labor Supply,,yes,
73,"Brunori et al_2013_Inequality of Opportunity, Income Inequality, and Economic Mobility.pdf",yes,brunoriInequalityOpportunityIncome2013,Brunori et al. 2013,Inequality of Opportunity Income Inequality and Economic Mobility,,yes,
