bibkey,author_year,title,current_tier_from_tiers_csv,preliminary_tier_from_inventory,final_recommended_tier,priority_rank,JMP_component,literature_bucket,extraction_prompt,pdf_status,md_extraction_status,bibtex_status,cite_for,do_not_cite_for,overclaim_warning,extraction_status,notes,metadata_needs_verification
bhattacharyaEmpiricalWelfareAnalysis2018,Bhattacharya 2018,Empirical Welfare Analysis for Discrete Choice: Some General Results,T2,Tier 1,T1B,19,welfare,random_utility_welfare,T1,in_Literature,yes,clean,general nonparametric Hicksian welfare for multinomial discrete choice; companion to Bhattacharya 2015,as the parametric RURO welfare object,same as 2015: do not overclaim nonparametric transportability,pending,T1B: companion to Bhattacharya 2015; second batch,no
capeauNonparametricWelfareAnalysis2021,Capeau et al. 2021,Nonparametric Welfare Analysis for Discrete Choice: Levels and Differences of Individual and Social Welfare,T2,Tier 1,T1B,20,welfare,random_utility_welfare,T1,in_Literature,yes,clean,Fleurbaey-style welfare for discrete choice; distribution of individual welfare; levels and differences,as the JMP exact money-metric (related but distinct construction),do not present their social-welfare aggregation as the JMP inequality-decomposition step,pending,T1B: Fleurbaey-style discrete-choice welfare; close to the JMP welfare layer,no
decancqHappinessEquivalentIncomes2015,Decancq et al. 2015,Happiness Equivalent Incomes and Respect for Individual Preferences,T2,Tier 1,T1B,21,welfare;normative-interpretation,money_metric_equivalent_income,T1,in_Literature,yes,clean,equivalent income respecting preferences; the preference-respecting principle the JMP welfare object rests on; cited primitive,as a labor-supply or opportunity-density source,"do not import their SWB validation as a JMP claim -- the JMP is preference-respecting money-metric, not subjective well-being",pending,T1B: welfare spec sec.1.3 leans on Decancq-Fleurbaey-Schokkaert 2015 for the spectrum framing; cited primitive,no
fleurbaeyOptimalIncomeTaxation2018,Fleurbaey & Maniquet 2018,Optimal Income Taxation Theory and Principles of Fairness,T2,Tier 1,T1B,22,normative-interpretation,responsibility_equality_of_opportunity,T1,in_Literature,yes,clean,the fairness/responsibility principles imported as cited primitives; compensation-responsibility spectrum; default framing anchor,as JMP-derived theory (the JMP imports these as cited primitives; the axioms belong to the companion Haydar-Maniquet paper),BOUNDARY-CRITICAL: cite for normative readings only; never reproduce or re-derive the characterisation; keep distinct from the separate Haydar-Maniquet theory paper,pending,T1B: welfare spec sec.1.3 names Fleurbaey-Maniquet 2018 as the default spectrum-framing anchor if the companion paper is not yet citable,no
sutherlandEUROMODEuropeanUnion2013,Sutherland & Figari 2013,EUROMOD: The European Union Tax-Benefit Microsimulation Model,T2,Tier 1,T1B,23,data-infrastructure,microsimulation_tax_benefit,T2,in_Literature,yes,clean,the EUROMOD reference; budget mapping infrastructure; ils_dispy; the disposable-income engine behind every job package,"as a contribution of the JMP (microsimulation is an input, not the contribution)",do not let EUROMOD become the headline -- project_state is explicit that microsimulation is infrastructure,pending,"T1B but extract with T2 prompt: infrastructure citation, not a methods competitor",no
fleurbaeyFairIncomeTax2006,Fleurbaey & Maniquet 2006,Fair Income Tax,T2,Tier 1,T2,24,normative-interpretation,responsibility_equality_of_opportunity,T2,in_Literature,yes,clean-no-DOI,foundational fair-income-tax / fairness-in-taxation primitive; responsibility-sensitive welfare,as JMP-original theory,BOUNDARY: cited primitive only; keep distinct from companion theory paper,pending,T2: normative primitive; supporting,verify DOI (JSTOR URL only)
roemerEqualityOpportunityTheory2016,Roemer & Trannoy 2016,Equality of Opportunity: Theory and Measurement,T2,Tier 1,T2,25,normative-interpretation;decomposition,responsibility_equality_of_opportunity,T2,in_Literature,yes,clean,authoritative EOp survey; circumstance/effort vocabulary; the responsibility framing context,"as the JMP specific access/ability cut (the JMP cut is structural-parameter-based, not Roemer types)",do not equate Roemer types with the JMP circumstance groups without stating the mapping,pending,T2: authoritative EOp reference for the responsibility framing,no
ferreiraMEASUREMENTINEQUALITYOPPORTUNITY2011,Ferreira & Gignoux 2011,The Measurement of Inequality of Opportunity: Theory and an Application to Latin America,T1,Tier 1,T2,26,decomposition,inequality_of_opportunity_decomposition,T2,in_Literature,yes,clean,IOp scalar measurement; parametric/ex-ante IOp; lower-bound interpretation,as the JMP welfare-based decomposition (IOp on outcomes vs the JMP on money-metric welfare),"do not present IOp-on-income as the JMP object -- the JMP decomposes money-metric welfare inequality, not earnings IOp",pending,DEMOTE from T1: important IOp-measurement context but not core to the structural/welfare machinery; T2,no
bourguignonINEQUALITYOPPORTUNITYBRAZIL2007,Bourguignon et al. 2007,Inequality of Opportunity in Brazil,T1,Tier 1,T2,27,decomposition,inequality_of_opportunity_decomposition,T2,in_Literature,yes,allcaps-key,circumstance-vs-effort earnings decomposition; Roemer-based empirical template,as a structural-welfare decomposition,do not treat earnings-IOp decomposition as equivalent to the JMP welfare decomposition,pending,DEMOTE from T1: classic IOp application but reduced-form earnings; T2 context,no
aabergeAccountingFamilyBackground2012,Aaberge & Colombino 2012,Accounting for Family Background When Designing Optimal Income Taxes,T1,Tier 2,T2,28,normative-interpretation;model,responsibility_equality_of_opportunity,T2,in_Literature,yes,clean,Roemer EOp inside a RURO optimal-tax model; bridges latent-jobs and EOp; Norway,as a welfare-inequality-decomposition source,do not cite the optimal-tax EOp results as the JMP decomposition,pending,DEMOTE from tiers.csv T1 to T2: useful bridge but optimal-tax oriented; matches inventory Tier 2,no
peichlAccountingLaborDemand2012,Peichl & Siegloch 2012,Accounting for Labor Demand Effects in Structural Labor Supply Models,T3,Tier 1,T2,29,opportunity-mechanism,structural_labor_supply,T2,in_Literature,yes,clean,demand-side constraints / rationing in structural labor supply; double-hurdle; relevant to the access channel interpretation,"as the JMP opportunity density (theirs is demand-side rationing, not an estimated offer density)",do not equate labor-demand rationing with the RURO opportunity density -- different objects,pending,DEMOTE from inventory Tier 1 to T2; PROMOTE from tiers.csv T3. Relevant to access-channel framing,no
bargainMakingWorkPay2010,Bargain et al. 2010,Making Work Pay in a Rationed Labor Market,T3,Tier 2,T2,30,opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T2,in_Literature,yes,clean,rationed labor market; double-hurdle for demand constraints; closest constrained-choice-set empirical relative,as an estimated opportunity-density paper (it is demand-rationing),do not present rationing as the JMP access density,pending,PROMOTE from T3 to T2: directly on constrained choice sets,no
kabatekIncomeTaxationLabour2014,Kabatek et al. 2014,"Income Taxation, Labour Supply and Housework: A Discrete Choice Model for French Couples",T2,Tier 2,T2,31,model;data-infrastructure,structural_labor_supply,T2,no_PDF_in_Literature,no_MD,clean,France couples discrete-choice baseline; joint taxation; the closest French empirical comparator,as a latent-jobs/RURO model (it is fixed-grid discrete choice),do not cite as a RURO model; it is the French Van-Soest-style baseline,pending,PROMOTE relevance: France couples comparator. Acquire PDF to Literature/ (Zotero files/ only),no
dagsvikSectoralLabourSupply2006,Dagsvik & Strom 2006,"Sectoral Labour Supply, Choice Restrictions and Functional Form",T2,Tier 1,T2,32,model;opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T2,in_Literature,yes,clean,sectoral job choice with budget + quantity constraints; functional-form lessons; Norwegian women,as justification for an occupation-in-utility specification (the JMP keeps occupation in access only); and do not call their sectoral the JMP occupation channel,CRITICAL terminology: their sectoral is NOT the JMP loc4 occupation-as-access object; keep ISCO/occupation separate from NACE/sector,pending,DEMOTE from inventory Tier 1 to T2: functional-form support; watch sector/occupation terminology,no
peichlAccountingSpouseWhen2016,Peichl & Ungerer 2016,Accounting for the Spouse When Measuring Inequality of Opportunity,T2,Tier 1,T2,33,decomposition,inequality_of_opportunity_decomposition,T2,no_PDF_in_Literature,no_MD,clean,household/spousal circumstances in IOp; relevant to couples-unit decomposition and gender attribution,as a structural welfare source,"do not import their spousal IOp directly -- the JMP couples are a joint welfare unit, not two IOp circumstances",pending,Relevant to the couples gender-attribution rules; acquire PDF,no
hufeMeasuringUnfairInequality2022,Hufe et al. 2022,Measuring Unfair Inequality: Reconciling Equality of Opportunity and Freedom from Poverty,T2,Tier 1,T2,34,decomposition;normative-interpretation,inequality_of_opportunity_decomposition,T2,no_PDF_in_Literature,no_MD,clean,unfair-vs-fair inequality measure; combines EOp and poverty; ReStud,as the JMP welfare decomposition method,"rebuild_plan_v3 flags may-need-T1 if fairness component central -- current welfare spec keeps fairness as cited primitive, so T2",pending,Kept T2 (not promoted): the JMP imports fairness readings as primitives; acquire PDF,no
mahlerEqualityOpportunityFour2019,Mahler & Ramos 2019,Equality of Opportunity in Four Measures of Well-Being,T2,Tier 1,T2,35,decomposition,inequality_of_opportunity_decomposition,T2,no_PDF_in_Literature,no_MD,clean,EOp across multiple well-being dimensions; beyond-income IOp; SOEP,as the JMP money-metric welfare object,do not equate their four well-being measures with the JMP W1-W6 family,pending,DEMOTE from inventory Tier 1 to T2: multi-dimensional EOp context; acquire PDF,no
vandegaerMeasurementInequalityOpportunity2020,Van de gaer & Ramos 2020,Measurement of Inequality of Opportunity Based on Counterfactuals,T2,Tier 1,T2,36,decomposition,inequality_of_opportunity_decomposition,T2,no_PDF_in_Literature,no_MD,clean-no-DOI,counterfactual IOp measurement; the counterfactual-equalization logic the Shapley decomposition uses,as the order-independent Shapley rule itself,do not present counterfactual IOp as path-independent without the Shapley averaging,pending,DEMOTE from inventory Tier 1 to T2: counterfactual logic support; acquire PDF; verify DOI,verify DOI (JSTOR URL only)
bosmansFailureCompensateFailure2025,Bosmans et al. 2025,Failure to Compensate or Failure to Reward? A Decomposition of Inequality of Opportunity,T2,Tier 1,T2,37,decomposition;normative-interpretation,Shapley_decomposition_inequality,T2,no_PDF_in_Literature,no_MD,clean,compensation-vs-reward decomposition; maps to the compensation-responsibility spectrum of W1-W6,as the JMP three-way access/ability/preference cut (theirs is compensate/reward),"do not equate compensate/reward with access/ability -- related framings, different cuts",pending,"Conceptually close to the W1-W6 duality; T2 (not T1: it is IOp-on-outcomes, not structural welfare). Acquire PDF",no
carpantierEmpiricalWelfareAnalysis2016,Carpantier & Sapata 2016,Empirical Welfare Analysis: When Preferences Matter,T2,Tier 2,T2,38,welfare,random_utility_welfare,T2,in_Literature,yes,clean,conditional equality / egalitarian-equivalent welfare with preference heterogeneity; US,as the JMP opportunity decomposition,do not present egalitarian-equivalence as the JMP money-metric family,pending,T2: preference-heterogeneous welfare comparator,no
decosterEmpiricalWelfareAnalysis2015,Decoster & Haan 2015,Empirical Welfare Analysis with Preference Heterogeneity,T2,Tier 2,T2,39,welfare,random_utility_welfare,T2,no_PDF_in_Literature,no_MD,clean,Fleurbaey-style welfare from structural labor supply; ethical priors; German women,as an opportunity-density source,do not present their ethical-prior welfare as the JMP access channel,pending,T2: close welfare-method comparator; acquire PDF,no
decancqGDPUsingEquivalent2016,Decancq & Schokkaert 2016,Beyond GDP: Using Equivalent Incomes to Measure Well-Being in Europe,T3,Tier 1,T2,40,welfare;normative-interpretation,money_metric_equivalent_income,T2,in_Literature,yes,clean,equivalent-income measurement in Europe; five principles for well-being measurement; cited primitive for the equivalent-income object,as a ranking/beyond-GDP contribution of the JMP (project_state sec.1.3: NOT a beyond-GDP ranking paper),"BOUNDARY: cite for the equivalent-income method, not for a beyond-GDP ranking goal",pending,PROMOTE from tiers.csv T3 to T2: supplies the equivalent-income principles; keep clear of the beyond-GDP-ranking boundary,no
fleurbaeyGDPQuestMeasure2009,Fleurbaey 2009,Beyond GDP: The Quest for a Measure of Social Welfare,T3,Tier 1,T2,41,normative-interpretation,money_metric_equivalent_income,T2,in_Literature,yes,clean,authoritative survey of social-welfare measurement; positions the money-metric/equivalent-income choice,as a JMP empirical-method source,"BOUNDARY: positioning/framing only, not a ranking goal",pending,PROMOTE from tiers.csv T3 to T2 (framing). NOTE: delete the duplicate GDPQuestMeasure stub from bib (keep this key),no
fleurbaeyInternationalComparisonsLiving2009,Fleurbaey & Gaulier 2009,International Comparisons of Living Standards by Equivalent Incomes,T3,Tier 1,T3,42,normative-interpretation,money_metric_equivalent_income,T3,in_Literature,yes,clean,equivalent-income method applied cross-country,"as a JMP method source (cross-country is the deferred extension, not the object)",BOUNDARY: cross-country is explicitly NOT the JMP object (project_state sec.1.3),pending,KEEP T3: background; the cross-country framing sits on the deferred-extension side,no
chettySufficientStatisticsWelfare2009,Chetty 2009,Sufficient Statistics for Welfare Analysis,T1,Tier 1,T3,43,motivation,motivation_positioning,T3,in_Literature,yes,clean-no-DOI,structural-vs-reduced-form bridge; welfare sufficient-statistics positioning for the intro,"as the JMP method (the JMP is fully structural, not sufficient-statistics)",do not cite as endorsing a sufficient-statistic shortcut -- the JMP computes structural welfare,pending,DEMOTE from tiers.csv T1 to T3: introduction positioning only,verify DOI (JSTOR URL only)
fleurbaeyManiquet2017,Fleurbaey & Maniquet 2017,[verify title -- Fleurbaey-Maniquet 2017],(absent),(not in inventory),T3,44,normative-interpretation,responsibility_equality_of_opportunity,T2,in_Literature,has_MD,MISSING_bib,fairness/optimal-tax primitive (pending identification),as JMP-original theory,BOUNDARY: cited primitive; identify exact paper first,pending,PDF Fleurbaey_maniquet_2017.pdf has MD but no confirmed bib; identify via MD then tier,verify title/venue/key
roemerEqualityOpportunityProgress2002,Roemer 2002,Equality of Opportunity: A Progress Report,T3,Tier 1,T3,45,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,yes,clean-no-DOI,Roemer EOp foundations,as the JMP specific cut,superseded for survey purposes by Roemer-Trannoy 2016,pending,KEEP T3: foundational context; Roemer-Trannoy 2016 is the citable survey,verify DOI (JSTOR URL only)
fleurbaeyHelpLowSkilled2007,Fleurbaey 2007,Help the Low Skilled or Let the Hardworking Thrive? A Study of Fairness in Optimal Income Taxation,(absent),Tier 2,T3,46,normative-interpretation,responsibility_equality_of_opportunity,T3,in_Literature,has_MD,unconfirmed_bib,fairness-in-optimal-tax primitive,as JMP-original theory,BOUNDARY: cited primitive only,pending,Has PDF + MD; bib entry not confirmed -- locate or add. JPET 2007,verify bib key/entry exists
bargainComparingInequalityAversion2014,Bargain et al. 2014,Comparing Inequality Aversion Across Countries When Labor Supply Responses Differ,T3,Tier 2,T3,47,model,structural_labor_supply,T3,in_Literature,yes,clean,cross-country labor-supply elasticities; implicit inequality aversion,as the JMP welfare-decomposition method,do not import inverse-optimal inequality aversion as the JMP normative stance,pending,KEEP T3: elasticity/benchmark context,no
loefflerSensitivityStructuralLabor2018,Loffler et al. 2018,The Sensitivity of Structural Labor Supply Estimations to Modeling Assumptions,T3,Tier 2,T3,48,estimation;identification,structural_labor_supply,T3,in_Literature,yes,clean,sensitivity of structural LS estimates to modeling choices; robustness warning,as a RURO-specific result,do not generalize their fixed-grid sensitivity directly to RURO,pending,KEEP T3: robustness/specification-sensitivity context (informs the synthetic-recovery discipline narrative),no
lofflerStructuralLaborSupply2014,Loffler et al. 2014,Structural Labor Supply Models and Wage Exogeneity,T3,Tier 2,T3,49,estimation;identification,structural_labor_supply,T3,in_Literature,yes,clean,wage-exogeneity identification warnings; many specification variants,as a RURO welfare source,do not treat wage exogeneity as settled for the RURO wage (ability) block,pending,KEEP T3: identification-warning context for the wage/ability block,no
blomquistNonparametricEstimationNonlinear2002,Blomquist & Newey 2002,Nonparametric Estimation with Nonlinear Budget Sets,T3,Tier 2,T3,50,estimation,structural_labor_supply,T3,in_Literature,yes,clean-no-DOI,nonparametric labor supply with nonlinear budget sets,as a discrete-choice/RURO source,different paradigm (continuous nonlinear budget sets),pending,KEEP T3: budget-set methodology background,verify DOI (Econometrica)
masValuingAlternativeWork2017,Mas & Pallais 2017,Valuing Alternative Work Arrangements,T2,Tier 2,T3,51,opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean-no-DOI,willingness-to-pay for job amenities; evidence that job attributes matter,as an estimated opportunity-density source,do not treat WTP-for-amenities as the JMP access density,pending,DEMOTE from tiers.csv T2 to T3: motivates job-attribute heterogeneity but distinct method,verify DOI (JSTOR URL only)
bloemenModelLabourSupply2000,Bloemen 2000,A Model of Labour Supply with Job Offer Restrictions,T2,Tier 1,T3,52,opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean-no-DOI,job-offer restrictions + labor supply; foundational offer-constraint paper,as the RURO opportunity density,search-theoretic offer constraints differ from the RURO offer density,pending,"DEMOTE from inventory Tier 1 to T3: offer-constraint context, search paradigm; verify DOI",verify DOI
bloemenJobSearchHours2008,Bloemen 2008,"Job Search, Hours Restrictions, and Desired Hours of Work",T2,Tier 1,T3,53,opportunity-mechanism,latent_jobs_RURO_opportunity_sets,T3,in_Literature,yes,clean-no-DOI,structural job search with wage-hours offer distribution; hours constraints,as the RURO opportunity density,"search-theoretic, not RURO; do not conflate the offer distributions",pending,DEMOTE from inventory Tier 1 to T3: search-paradigm offer distributions; verify DOI,verify DOI
chantreuilInequalityDecompositionValues2013,Chantreuil & Trannoy 2013,Inequality Decomposition Values: The Trade-Off Between Marginality and Efficiency,T2,Tier 2,T3,54,decomposition,Shapley_decomposition_inequality,T3,no_PDF_in_Literature,no_MD,clean,Shapley/Owen decomposition axioms; marginality-efficiency trade-off,as the JMP chosen rule justification by itself,axiomatic background; Shorrocks 2013 + Audoly 2025 are the operative refs,pending,KEEP T3: decomposition-axioms background; acquire PDF,no
tidotakengDecompositionsInequalityMeasures2023,Tido Takeng et al. 2023,Decompositions of Inequality Measures from the Perspective of the Shapley-Owen Value,T2,Tier 2,T3,55,decomposition,Shapley_decomposition_inequality,T3,no_PDF_in_Literature,no_MD,clean,Shapley-Owen grouped/hierarchical decomposition,as the operative JMP recipe (Audoly 2025 is closer),background to the grouped-decomposition option,pending,KEEP T3: grouped-decomposition background; acquire PDF,no
