source_id,bibtex_key,author_year,title,authors,year,publication_type,journal_or_source,DOI_or_URL,has_bibtex,has_pdf,appears_in_full_literature_md,appears_in_deep_research_reports,likely_JMP_bucket,preliminary_tier,notes,metadata_problems
11,bargainComparingInequalityAversion2014,Bargain et al. 2014,Comparing Inequality Aversion across Countries When Labor Supply Responses Differ,"Bargain, Olivier; Dolls, Mathias; Neumann, Dirk; Peichl, Andreas; Siegloch, Sebastian",2014,journal article,International Tax and Public Finance,https://doi.org/10.1007/s10797-013-9277-9,yes,yes,yes,yes,structural_labor_supply,Tier 2,Cross-country labor supply elasticities; implicit inequality aversion from optimal tax,
12,bargainInworkPoliciesEurope2006,Bargain & Orsini 2006,In-Work Policies in Europe: Killing Two Birds with One Stone?,"Bargain, Olivier; Orsini, Kristian",2006,journal article,Labour Economics,https://doi.org/10.1016/j.labeco.2005.10.007,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,EUROMOD + discrete labor supply; France Germany Finland; in-work benefits,
13,bargainMakingWorkPay2010,Bargain et al. 2010,"Making Work Pay" in a Rationed Labor Market,"Bargain, Olivier; Caliendo, Marco; Haan, Peter; Orsini, Kristian",2010,journal article,Journal of Population Economics,https://doi.org/10.1007/s00148-008-0220-9,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 2,Rationed labor market; double-hurdle model for demand constraints; closely related to JMP,
14,bargainPuttingStructureRD2013,Bargain & Doorley 2013,Putting Structure on the RD Design: Social Transfers and Youth Inactivity in France,"Bargain, Olivier; Doorley, Karina",2013,working paper,IZA Discussion Paper,https://www.jstor.org/stable/resrep75562,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,France setting; social transfers + labor supply; structural RD design,
15,bargainWelfareLaborSupply2013,Bargain et al. 2013,Welfare Labor Supply and Heterogeneous Preferences: Evidence for Europe and the US,"Bargain, Olivier; Decoster, André; Dolls, Mathias; Neumann, Dirk; Peichl, Andreas; Siegloch, Sebastian",2013,journal article,Social Choice and Welfare,https://doi.org/10.1007/s00355-012-0707-x,yes,yes,yes,yes,random_utility_welfare,Tier 1,Welfare comparison with preference heterogeneity; Europe + US; key welfare metric paper,
16,beckerQuantityQualityLife2005,Becker et al. 2005,The Quantity and Quality of Life and the Evolution of World Inequality,"Becker, Gary S.; Philipson, Tomas J.; Soares, Rodrigo R.",2005,journal article,American Economic Review,https://doi.org/10.1257/0002828053828563,yes,yes,yes,yes,money_metric_equivalent_income,Tier 2,Full income with longevity; cross-country welfare inequality,
17,beffyLabourSupplyTaxation2019,Beffy et al. 2019,Labour Supply and Taxation with Restricted Choices,"Beffy, Magali; Blundell, Richard; Bozio, Antoine; Laroque, Guy; Tô, Maxime",2019,journal article,Journal of Econometrics,https://doi.org/10.1016/j.jeconom.2018.12.004,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Choice set with at most two offers; identification of preferences vs choice set distribution; UK mothers,
18,bhattacharyaEmpiricalWelfareAnalysis2018,Bhattacharya 2018,Empirical Welfare Analysis for Discrete Choice: Some General Results,"Bhattacharya, Debopam",2018,journal article,Quantitative Economics,https://doi.org/10.3982/QE931,yes,yes,yes,yes,random_utility_welfare,Tier 1,Nonparametric Hicksian welfare for multinomial discrete choice; general heterogeneity,
19,bhattacharyaNonparametricWelfareAnalysis2015,Bhattacharya 2015,Nonparametric Welfare Analysis for Discrete Choice,"Bhattacharya, Debopam",2015,journal article,Econometrica,https://doi.org/10.3982/ECTA12574,yes,yes,yes,yes,random_utility_welfare,Tier 1,EV/CV distributions from choice probabilities; benchmark nonparametric welfare paper,
20,bloemenJobSearchHours2008,Bloemen 2008,Job Search Hours Restrictions and Desired Hours of Work,"Bloemen, Hans G.",2008,journal article,Journal of Labor Economics,,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Structural job search with wage-hours offer distribution; hours constraints from supply,duplicate PDF paths in bib (files/1177 and files/719); missing DOI
21,bloemenModelLabourSupply2000,Bloemen 2000,A Model of Labour Supply with Job Offer Restrictions,"Bloemen, Hans G.",2000,journal article,Labour Economics,,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Job offer restrictions + labor supply; foundational offer-constraint paper,missing DOI
22,blomquistNonparametricEstimationNonlinear2002,Blomquist & Newey 2002,Nonparametric Estimation with Nonlinear Budget Sets,"Blomquist, Sören; Newey, Whitney",2002,journal article,Econometrica,,yes,yes,yes,yes,simulation_inference_bootstrap,Tier 2,Nonparametric labor supply with nonlinear budget sets; identification,duplicate PDF paths in bib (files/1101 and files/1296); missing DOI
23,blundellEarnedIncomeTax2006,Blundell 2006,Earned Income Tax Credit Policies: Impact and Optimality,"Blundell, Richard",2006,journal article,Labour Economics,https://doi.org/10.1016/j.labeco.2006.04.001,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,EITC impact and optimality; UK labor market; Adam Smith lecture,
24,blundellLabourMarketImpact2000,Blundell et al. 2000,The Labour Market Impact of the Working Families' Tax Credit,"Blundell, Richard; Duncan, Alan; McCrae, Julian; Meghir, Costas",2000,journal article,Fiscal Studies,https://doi.org/10.1111/j.1475-5890.2000.tb00581.x,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,WFTC labor supply simulation; discrete household model; UK,
25,bosmansFailureCompensateFailure2025,Bosmans et al. 2025,Failure to Compensate or Failure to Reward? A Decomposition of Inequality of Opportunity,"Bosmans, Kristof; Dormans, Bart; Öztürk, Z. Emel",2025,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-025-09680-x,yes,yes,no,yes,Shapley_decomposition_inequality,Tier 1,Compensation vs reward decomposition of IOp; ex ante and ex post; 10 European countries,no MD extraction; PDF in bib files/ path only
26,bosmansMeasurementInequalityOpportunity2021,Bosmans & Öztürk 2021,Measurement of Inequality of Opportunity: A Normative Approach,"Bosmans, Kristof; Öztürk, Z. Emel",2021,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-020-09468-1,yes,yes,no,yes,responsibility_equality_of_opportunity,Tier 2,Normative IOp measurement; ex ante/ex post; liberal vs utilitarian reward,no MD extraction; PDF in bib files/ path only
27,bourguignonINEQUALITYOPPORTUNITYBRAZIL2007,Bourguignon et al. 2007,Inequality of Opportunity in Brazil,"Bourguignon, François; Ferreira, Francisco H. G.; Menéndez, Marta",2007,journal article,Review of Income and Wealth,https://doi.org/10.1111/j.1475-4991.2007.00247.x,yes,yes,yes,yes,inequality_of_opportunity_decomposition,Tier 1,Circumstance vs effort decomposition of earnings inequality; Roemer-based; Brazil,bibtex key uses all-caps INEQUALITY — consistent with filename
28,bourguignonMicrosimulationToolEvaluating2006,Bourguignon & Spadaro 2006,Microsimulation as a Tool for Evaluating Redistribution Policies,"Bourguignon, François; Spadaro, Amedeo",2006,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-005-9012-6,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,Theoretical background for microsimulation in redistribution analysis,
29,brunoriInequalityOpportunityIncome2013,Brunori et al. 2013,Inequality of Opportunity Income Inequality and Economic Mobility: Some International Comparisons,"Brunori, Paolo; Ferreira, Francisco H. G.; Peragine, Vito",2013,book chapter,Getting Development Right (Palgrave),https://doi.org/10.1057/9781137333117_5,yes,yes,yes,yes,inequality_of_opportunity_decomposition,Tier 2,International comparisons of IOp and income inequality,duplicate PDF paths in bib (files/1349 and files/1351)
30,brunoriOpportunitySensitivePovertyMeasurement2013,Brunori et al. 2013b,Opportunity-Sensitive Poverty Measurement,"Brunori, Paolo; Ferreira, Francisco H. G.; Lugo, Maria Ana; Peragine, Vito",2013,working paper,IZA Discussion Paper,https://www.jstor.org/stable/resrep75762,yes,yes,no,yes,responsibility_equality_of_opportunity,Tier 3 (background),Opportunity-sensitive poverty; IZA DP 7818; possible blind spot,no MD extraction; PDF in bib files/ path only
31,brunoriUpwardDownwardBias2019,Brunori et al. 2019,Upward and Downward Bias When Measuring Inequality of Opportunity,"Brunori, Paolo; Peragine, Vito; Serlenga, Laura",2019,journal article,Social Choice and Welfare,,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 2,Sampling variance bias in IOp; cross-validation criterion; 31 European countries,no MD extraction; PDF in bib files/ path only; missing DOI in bib (JSTOR URL only)
32,capeauEstimatingSimulatingRandom2015,Capéau et al. 2015,Estimating and Simulating with a Random Utility Random Opportunity Model of Job Choice,"Capéau, Bart; Decoster, André; Dekkers, Gijs",2015,journal article,International Journal of Microsimulation,https://doi.org/10.34196/ijm.00139,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,RURO estimation on Belgian EU-SILC 2007; core application paper; education effects on opportunities,title in bib has "ChoicePresentation" typo — matches filename convention
33,capeauNonparametricWelfareAnalysis2021,Capéau et al. 2021,Nonparametric Welfare Analysis for Discrete Choice: Levels and Differences of Individual and Social Welfare,"Capéau, Bart; Maes, Sebastiaan; De Sadeleer, Liebrecht; Decoster, André",2021,preprint,SSRN,https://doi.org/10.2139/ssrn.3845195,yes,yes,yes,yes,random_utility_welfare,Tier 1,Fleurbaey-style welfare for discrete choice; nonparametric; distribution of welfare,
34,cappauGettingTiredWork2015,Capéau & Decoster 2015/2016,Getting Tired of Work or Re-Tiring in Absence of Decent Job Opportunities?,"Capéau, Bart; Decoster, André",2015,preprint,SSRN,https://doi.org/10.2139/ssrn.2687021,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,RURO preference vs opportunity decomposition for elderly; Belgium SILC 2007; closest prototype to JMP headline,author misspelled as "Cappau" in bib (should be Capéau); date 2015 in bib vs 2016 in MD extraction filename
35,carpantierEmpiricalWelfareAnalysis2016,Carpantier & Sapata 2016,Empirical Welfare Analysis: When Preferences Matter,"Carpantier, Jean-François; Sapata, Christelle",2016,journal article,Social Choice and Welfare,https://doi.org/10.1007/s00355-015-0927-y,yes,yes,yes,yes,random_utility_welfare,Tier 2,Conditional equality and egalitarian equivalence; US microdata; individual vs group preferences,
36,chantreuilInequalityDecompositionValues2013,Chantreuil & Trannoy 2013,Inequality Decomposition Values: The Trade-Off Between Marginality and Efficiency,"Chantreuil, Frédéric; Trannoy, Alain",2013,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-011-9207-y,yes,yes,no,yes,Shapley_decomposition_inequality,Tier 2,Shapley value decomposition axioms; Owen's value; decomposition foundations,no MD extraction; PDF in bib files/ path only
37,Chapter34Welfare2002,Chapter 34 2002,Chapter 34 Welfare Programs and Labor Supply,[verify authors],2002,book chapter,Handbook of Public Economics (Elsevier),https://doi.org/10.1016/S1573-4420(02)80013-1,yes,no,yes,no,structural_labor_supply,Tier 2,Labor supply effects of welfare programs; handbook chapter,missing authors in bibtex entry; no PDF in Literature/ folder
38,checchiInequalityOpportunityItaly2010,Checchi & Peragine 2010,Inequality of Opportunity in Italy,"Checchi, Daniele; Peragine, Vito",2010,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-009-9118-3,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 1,IOp methodology and application to Italy; ethically offensive vs acceptable inequality,no MD extraction; PDF in bib files/ path only
39,chettySufficientStatisticsWelfare2009,Chetty 2009,Sufficient Statistics for Welfare Analysis: A Bridge Between Structural and Reduced-Form Methods,"Chetty, Raj",2009,journal article,Annual Review of Economics,,yes,yes,yes,yes,motivation_positioning,Tier 1,Bridge structural/reduced-form; welfare sufficient statistics; broad positioning paper,missing DOI (JSTOR URL only)
40,choneNegativeMarginalTax2010,Choné & Laroque 2010,Negative Marginal Tax Rates and Heterogeneity,"Choné, Philippe; Laroque, Guy",2010,journal article,American Economic Review,,yes,yes,yes,yes,structural_labor_supply,Tier 2,Optimal tax with intensive margin heterogeneity; negative MTR results,missing DOI (JSTOR URL only)
41,dagsvikCompensatingVariationHicksian2005,Dagsvik & Karlström 2005,Compensating Variation and Hicksian Choice Probabilities in Random Utility Models That Are Nonlinear in Income,"Dagsvik, John K.; Karlström, Anders",2005,journal article,Review of Economic Studies,,yes,yes,yes,yes,random_utility_welfare,Tier 1,Hicksian CV in nonlinear random utility; key welfare metric for RURO,missing DOI (JSTOR URL only)
42,dagsvikLaborSupplyChoice2016,Dagsvik & Jia 2016,Labor Supply as a Choice Among Latent Jobs: Unobserved Heterogeneity and Identification,"Dagsvik, John K.; Jia, Zhiyang",2016,journal article,Journal of Applied Econometrics,https://doi.org/10.1002/jae.2428,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Latent jobs identification; Norwegian couples; key identification paper for JMP,
43,dagsvikSectoralLabourSupply2006,Dagsvik & Strøm 2006,Sectoral Labour Supply Choice Restrictions and Functional Form,"Dagsvik, John K.; Strøm, Steinar",2006,journal article,Journal of Applied Econometrics,https://doi.org/10.1002/jae.866,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Sectoral job choice with budget + quantity constraints; Norwegian women; functional form,duplicate PDF paths in bib (files/1052 and files/367)
44,dagsvikTHEORETICALPRACTICALARGUMENTS2014,Dagsvik et al. 2014,Theoretical and Practical Arguments for Modeling Labor Supply as a Choice Among Latent Jobs,"Dagsvik, John K.; Jia, Zhiyang; Kornstad, Tom; Thoresen, Thor O.",2014,journal article,Journal of Economic Surveys,https://doi.org/10.1111/joes.12003,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 1,Survey/manifesto paper for latent-jobs framework vs Van Soest vs Hausman; benchmark,
45,decancqGDPUsingEquivalent2016,Decancq & Schokkaert 2016,Beyond GDP: Using Equivalent Incomes to Measure Well-Being in Europe,"Decancq, Koen; Schokkaert, Erik",2016,journal article,Social Indicators Research,https://doi.org/10.1007/s11205-015-0885-x,yes,yes,yes,yes,money_metric_equivalent_income,Tier 1,Equivalent income in Europe with ESS data 2008/2010; five principles for well-being measurement,
46,decancqHappinessEquivalentIncomes2015,Decancq et al. 2015,Happiness Equivalent Incomes and Respect for Individual Preferences,"Decancq, Koen; Fleurbaey, Marc; Schokkaert, Erik",2015,journal article,Economica,https://doi.org/10.1111/ecca.12152,yes,yes,yes,yes,money_metric_equivalent_income,Tier 1,Equivalent income respecting preferences; SWB vs equivalent income; Russia panel,
47,decosterEmpiricalWelfareAnalysis2015,Decoster & Haan 2015,Empirical Welfare Analysis with Preference Heterogeneity,"Decoster, André M. J.; Haan, Peter",2015,journal article,International Tax and Public Finance,https://doi.org/10.1007/s10797-014-9304-5,yes,yes,no,no,random_utility_welfare,Tier 2,Fleurbaey-style welfare from structural labor supply; German women; ethical priors,no MD extraction; PDF in bib files/ path only (files/187)
48,durandOECDBetterLife2015,Durand 2015,The OECD Better Life Initiative: How's Life? And the Measurement of Well-Being,"Durand, Martine",2015,journal article,Review of Income & Wealth,https://doi.org/10.1111/roiw.12156,yes,yes,yes,yes,money_metric_equivalent_income,Tier 2,OECD multidimensional well-being framework; positioning/context for JMP,
49,duroFactorDecompositionCrosscountry1998,Duro & Esteban 1998,Factor Decomposition of Cross-Country Income Inequality 1960-1990,"Duro, Juan Antonio; Esteban, Joan",1998,journal article,Economics Letters,https://doi.org/10.1016/S0165-1765(98)00113-X,yes,yes,no,no,Shapley_decomposition_inequality,not_central_or_background,Factor decomposition of Theil index; cross-country; not closely aligned with JMP,no MD extraction; PDF in bib files/ path only
50,ferreiraMEASUREMENTINEQUALITYOPPORTUNITY2011,Ferreira & Gignoux 2011,The Measurement of Inequality of Opportunity: Theory and an Application to Latin America,"Ferreira, Francisco H. G.; Gignoux, Jérémie",2011,journal article,Review of Income & Wealth,https://doi.org/10.1111/j.1475-4991.2011.00467.x,yes,yes,yes,yes,inequality_of_opportunity_decomposition,Tier 1,IOp scalar measure; lower-bound estimates; Latin America application; key IOp measurement paper,
51,fleurbaeyExAnteEx2013,Fleurbaey & Peragine 2013,Ex Ante Versus Ex Post Equality of Opportunity,"Fleurbaey, Marc; Peragine, Vito",2013,journal article,Economica,,yes,yes,no,yes,responsibility_equality_of_opportunity,Tier 2,Ex ante vs ex post EOp distinction; compensation-reward conflict,no MD extraction; PDF in bib files/ path only; missing DOI (JSTOR URL only)
52,fleurbaeyFairIncomeTax2006,Fleurbaey & Maniquet 2006,Fair Income Tax,"Fleurbaey, Marc; Maniquet, François",2006,journal article,Review of Economic Studies,,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 1,Fairness-based optimal tax; heterogeneous skills and preferences; key normative paper,missing DOI (JSTOR URL only)
53,fleurbaeyGDPQuestMeasure2009,Fleurbaey 2009,Beyond GDP: The Quest for a Measure of Social Welfare,"Fleurbaey, Marc",2009,journal article,Journal of Economic Literature,https://doi.org/10.1257/jel.47.4.1029,yes,yes,yes,yes,money_metric_equivalent_income,Tier 1,Survey of welfare measurement approaches; beyond GDP; benchmark for JMP normative framing,near-duplicate bibtex entry: GDPQuestMeasure (entry 51 in bib) is an @online stub for the same paper
54,fleurbaeyInternationalComparisonsLiving2009,Fleurbaey & Gaulier 2009,International Comparisons of Living Standards by Equivalent Incomes,"Fleurbaey, Marc; Gaulier, Guillaume",2009,journal article,Scandinavian Journal of Economics,https://doi.org/10.1111/j.1467-9442.2009.01578.x,yes,yes,yes,yes,money_metric_equivalent_income,Tier 1,Equivalent income for international comparisons; 24 OECD countries,
55,fleurbaeyOptimalIncomeTaxation2018,Fleurbaey & Maniquet 2018,Optimal Income Taxation Theory and Principles of Fairness,"Fleurbaey, Marc; Maniquet, François",2018,journal article,Journal of Economic Literature,https://doi.org/10.1257/jel.20171238,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 1,JEL survey of optimal taxation with fairness principles; desert and responsibility,
56,GDPQuestMeasure,[no key],Beyond GDP: The Quest for a Measure of Social Welfare (JSTOR stub),[verify],,[online stub],JSTOR,,yes,no,no,no,not_central_or_background,not_central_or_background,Duplicate/stub entry for fleurbaeyGDPQuestMeasure2009; no standalone content,DUPLICATE of fleurbaeyGDPQuestMeasure2009 — should be deleted from bib; no author/year/title in entry
57,hufeMeasuringUnfairInequality2022,Hufe et al. 2022,Measuring Unfair Inequality: Reconciling Equality of Opportunity and Freedom from Poverty,"Hufe, Paul; Kanbur, Ravi; Peichl, Andreas",2022,journal article,Review of Economic Studies,https://doi.org/10.1093/restud/rdab101,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 1,Unfair vs fair inequality; US 1969-2014 + 31 European countries; unfair inequality measure,no MD extraction; duplicate PDF paths in bib (files/1126 and files/1383)
58,immervollWelfareReformEuropean2007,Immervoll et al. 2007,Welfare Reform in European Countries: A Microsimulation Analysis,"Immervoll, Herwig; Kleven, Henrik Jacobsen; Kreiner, Claus Thustrup; Saez, Emmanuel",2007,journal article,Economic Journal,,yes,yes,yes,yes,microsimulation_tax_benefit,Tier 2,EUROMOD + labor supply model; EU-15 welfare vs in-work benefits comparison,missing DOI (JSTOR URL only)
59,jacquetHowMuchDoes2026,Jacquet et al. 2026,How Much Does Responsibility Matter in Fairness Measurement?,"Jacquet, Laurence; Jia, Zhiyang; Thoresen, Thor O.",2026,preprint,SSRN,https://papers.ssrn.com/abstract=6112587,yes,yes,yes,yes,responsibility_equality_of_opportunity,Tier 1,Responsibility vs circumstances in welfare distribution; structural job choice model + Norway tax reform; extremely close to JMP,missing DOI field (URL only)
60,jaraPuttingMeasuresIndividual2017,Jara & Schokkaert 2017,Putting Measures of Individual Well-Being to Use for Ex-Ante Policy Evaluation,"Jara, H. Xavier; Schokkaert, Erik",2017,journal article,Journal of Economic Inequality,https://doi.org/10.1007/s10888-017-9370-x,yes,yes,no,no,random_utility_welfare,Tier 2,Equivalent income and life satisfaction for policy evaluation; EUROMOD + EU-SILC Sweden,no MD extraction; PDF in bib files/ path only
61,kabatekIncomeTaxationLabour2014,Kabátek et al. 2014,Income Taxation Labour Supply and Housework: A Discrete Choice Model for French Couples,"Kabátek, Jan; van Soest, Arthur; Stancanelli, Elena",2014,journal article,Labour Economics,https://doi.org/10.1016/j.labeco.2014.01.004,yes,yes,no,yes,structural_labor_supply,Tier 2,France couples discrete choice; joint taxation; housework + labor supply; France empirical baseline,no MD extraction; PDF in bib files/ path only
62,loefflerSensitivityStructuralLabor2018,Löffler et al. 2018,The Sensitivity of Structural Labor Supply Estimations to Modeling Assumptions,"Löffler, Max; Peichl, Andreas; Siegloch, Sebastian",2018,journal article,SSRN,https://doi.org/10.2139/ssrn.3153389,yes,yes,yes,yes,structural_labor_supply,Tier 2,Sensitivity of labor supply estimates to modeling choices; robustness warning,
63,lofflerStructuralLaborSupply2014,Löffler et al. 2014,Structural Labor Supply Models and Wage Exogeneity,"Löffler, Max; Peichl, Andreas; Siegloch, Sebastian",2014,working paper,SOEPpapers,https://www.econstor.eu/handle/10419/99953,yes,yes,yes,yes,structural_labor_supply,Tier 2,3456 model variants; wage exogeneity key; identification warnings,
64,mahlerEqualityOpportunityFour2019,Mahler & Ramos 2019,Equality of Opportunity in Four Measures of Well-Being,"Mahler, Daniel Gerszon; Ramos, Xavier",2019,journal article,Review of Income & Wealth,https://doi.org/10.1111/roiw.12419,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 1,EOp in four welfare dimensions; German SOEP; well-being beyond income,no MD extraction; PDF in bib files/ path only
65,masValuingAlternativeWork2017,Mas & Pallais 2017,Valuing Alternative Work Arrangements,"Mas, Alexandre; Pallais, Amanda",2017,journal article,American Economic Review,,yes,yes,yes,yes,latent_jobs_RURO_opportunity_sets,Tier 2,Willingness to pay for work arrangements; job amenities; discrete choice experiment,missing DOI (JSTOR URL only)
66,osbergIndexEconomicWell2002,Osberg & Sharpe 2002,An Index of Economic Well-Being for Selected OECD Countries,"Osberg, L.; Sharpe, A.",2002,journal article,Review of Income & Wealth,https://doi.org/10.1111/1475-4991.00056,yes,yes,no,no,money_metric_equivalent_income,not_central_or_background,OECD well-being index; background positioning only,no MD extraction; PDF in bib files/ path only
67,palominoChannelsInequalityOpportunity2019,Palomino et al. 2019,Channels of Inequality of Opportunity: The Role of Education and Occupation in Europe,"Palomino, Juan C.; Marrero, Gustavo A.; Rodríguez, Juan G.",2019,journal article,Social Indicators Research,,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 2,Education and occupation as channels for IOp; EU-SILC; Europe,no MD extraction; PDF in bib files/ path only; missing DOI (JSTOR URL only)
68,peichlAccountingLaborDemand2012,Peichl & Siegloch 2012,Accounting for Labor Demand Effects in Structural Labor Supply Models,"Peichl, Andreas; Siegloch, Sebastian",2012,journal article,Labour Economics,https://doi.org/10.1016/j.labeco.2011.09.007,yes,yes,yes,yes,structural_labor_supply,Tier 1,Demand-side constraints in structural labor supply; double-hurdle / rationing extension,
69,peichlAccountingSpouseWhen2016,Peichl & Ungerer 2016,Accounting for the Spouse When Measuring Inequality of Opportunity,"Peichl, Andreas; Ungerer, Martin",2016,journal article,Social Choice & Welfare,https://doi.org/10.1007/s00355-016-0985-9,yes,yes,no,yes,inequality_of_opportunity_decomposition,Tier 1,Spousal circumstances in IOp; Germany; household-level EOp,no MD extraction; PDF in bib files/ path only
70,piacquadioFairnessJustificationUtilitarianism2017,Piacquadio 2017,A Fairness Justification of Utilitarianism,"Piacquadio, Paolo Giovanni",2017,journal article,Econometrica,https://doi.org/10.3982/ECTA14151,yes,yes,no,no,responsibility_equality_of_opportunity,Tier 2,Opportunity-equivalent utilitarianism; ordinal preferences; fairness axioms,no MD extraction; PDF in bib files/ path only
